id,TtlPrc,UntPrc,Year,Elvt,RmNum,HllNum,KchNum,BthNum,Lat,Lng,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst,TrfV,AgrPct,DstPct,HppPct,SadPct,FeaPct
101092123531,14000,96559,2006,1,3,2,1,2,40.0050273381127,116.491026374928,22,554,13,587,59,458,18,426,100,133,45,383,0,17,8,33,18,21
101092142539,13830,93176,2011,1,3,1,1,2,40.0555004516281,116.442303693508,51,289,3,547,45,488,7,487,70,261,16,432,0,17,6,24,23,26
101092193245,4680,43218,2004,1,2,1,1,1,39.8947469193661,116.66257831678,46,296,12,326,68,506,16,617,100,139,40,458,0,12,9,35,27,15
101092195500,11000,121655,2000,1,3,1,1,1,39.9972437451426,116.342455518836,46,336,7,485,100,230,22,444,100,91,42,244,34.13273148,13,8,31,28,17
101092220677,6850,65065,2003,1,2,2,1,2,39.9946674375411,116.473692829909,51,192,17,605,100,355,39,699,100,271,51,322,23.98828704,12,9,36,19,22
101092271572,8100,39767,2008,1,3,2,1,2,40.0708323732692,116.431332649687,43,427,9,875,78,372,23,466,100,235,26,561,0,11,7,33,28,18
101092282233,9000,60721,2002,1,3,2,1,2,39.8963206897735,116.312542605608,45,264,3,641,44,429,14,501,87,266,24,549,0,14,7,32,27,16
101092290262,5200,53820,2006,1,2,1,1,1,40.0961986799693,116.34658440674,42,370,2,741,32,352,12,560,62,280,16,492,0,7,6,37,27,20
101092352225,6180,70412,2004,1,1,1,1,1,39.9041432349581,116.486775291424,35,468,9,598,82,437,20,546,100,170,47,370,0,14,8,31,27,18
101100186607,19000,78911,2004,1,4,2,1,3,40.0117764691097,116.416214392531,53,228,5,415,88,356,23,463,100,121,41,373,40.08314815,12,6,33,28,19
101100204408,6900,76159,1994,0,3,1,1,1,40.0054183184536,116.419673836219,53,404,13,582,81,426,25,430,100,97,57,464,35.99291667,15,8,31,25,19
101100286734,23300,99923,2013,1,4,4,1,3,39.8733257725648,116.477644367152,47,386,14,488,69,731,20,576,100,273,40,476,0,17,7,31,26,16
101100296717,5500,86847,2004,1,1,1,1,1,39.9038128708172,116.451344471025,28,587,13,546,84,534,20,551,100,337,31,471,0,10,10,38,18,21
101100354208,5200,79596,2002,1,1,1,1,1,39.9023495138865,116.470202948037,51,250,27,537,84,398,19,484,100,83,54,242,49.4725463,10,7,39,18,23
101100369914,5290,64996,1980,0,3,1,1,1,39.9287703925506,116.513190862352,51,526,15,563,94,502,22,501,100,302,51,450,0,10,8,38,22,20
101100391729,6340,41648,2004,1,3,2,2,1,40.0845881277807,116.428919805579,38,463,1,613,52,505,15,753,79,408,22,562,0,14,6,31,24,23
101100392586,5850,38467,2000,0,4,1,1,2,40.0672545216201,116.424665593277,37,328,19,332,76,485,28,533,100,155,57,316,0,13,9,35,21,21
101100393212,9100,54777,1999,0,4,2,1,2,40.1134441474469,116.554445783644,50,285,1,772,36,421,7,379,71,264,22,540,0,8,0,62,16,12
101100398938,5700,45718,2006,0,3,2,1,2,40.0830034327116,116.363007087039,52,319,2,501,80,531,22,408,100,258,25,481,0,9,7,41,22,18
101100407087,7280,51020,2004,1,2,1,1,2,40.0836475277804,116.423634038518,43,416,3,572,70,501,22,514,98,373,32,419,18.46564815,6,2,43,34,13
101100440015,6480,60039,1997,0,3,1,1,1,40.0942815770413,116.302378508729,20,747,1,521,20,630,1,660,62,478,13,629,0,24,8,29,23,13
101100447639,7350,30161,2011,1,7,2,1,4,39.7159879555255,116.079944442554,25,613,1,921,11,575,0,1000,23,431,2,487,0,0,0,0,0,0
101100455059,5750,121206,2012,1,1,1,1,1,40.0119434432186,116.470439664115,52,320,18,588,97,418,26,503,100,274,48,442,36.7950463,14,9,33,22,20
101100480291,3700,57472,1998,1,1,1,1,1,39.8753910995828,116.473465424767,54,394,25,479,69,628,21,647,100,141,42,374,30.90212963,17,7,31,26,16
101100482285,3850,34062,1996,0,2,1,1,1,39.9375866715005,116.109391722714,46,375,2,797,58,557,15,552,76,238,28,524,0,15,9,37,19,18
101100482418,4500,47756,1999,0,3,1,1,1,39.9581100417371,116.37617265978,51,331,15,629,100,523,24,563,100,211,35,425,0,12,8,29,28,20
101100488625,6100,33931,2001,1,3,2,1,2,40.0708535201036,116.431354748003,44,427,9,877,78,373,23,466,100,235,26,561,0,11,7,33,28,18
101100492692,12950,69193,1999,1,4,2,1,2,39.8828663605946,116.357801304202,43,334,52,537,70,450,19,495,100,205,24,407,29.88740741,14,9,32,23,20
101100499864,11000,61542,2001,1,3,2,1,2,39.9976421476189,116.505582787801,21,582,51,460,48,479,1,655,100,323,23,694,0,10,8,35,24,20
101100507138,9000,76085,2005,1,2,2,1,2,40.028483545097,116.302836171132,11,448,1,586,25,456,18,465,67,330,13,489,0,10,10,33,26,18
101100516177,5300,32452,2002,0,4,2,1,2,40.0672545216201,116.424665593277,37,328,19,332,76,485,28,533,100,155,57,316,0,13,9,35,21,21
101100517935,7980,114821,1994,1,2,1,1,1,39.9702046348236,116.394119187817,47,421,16,505,80,458,14,538,100,107,28,358,23.06046296,13,7,35,25,18
101100523679,8500,63997,2008,1,2,2,1,2,40.044729800968,116.419977073617,34,446,29,679,63,533,17,383,100,283,58,425,0,12,7,34,25,18
101100532071,8500,67665,1999,0,3,2,1,2,39.9270158532204,116.499183174908,28,512,20,529,92,444,25,526,100,300,54,426,0,13,8,39,20,18
101100541972,15800,108338,2004,1,2,2,1,2,39.9381925567535,116.492932790322,29,464,61,548,48,760,10,578,100,125,40,333,0,12,9,39,18,20
101100544424,8600,93785,2002,1,2,2,1,1,39.8908264720128,116.351786349321,50,378,23,580,77,559,30,625,100,211,39,356,0,15,8,28,29,17
101100545144,4000,48049,2000,1,3,1,1,1,39.9089035839365,116.230161147052,50,358,17,457,72,594,25,474,100,139,37,371,0,11,8,33,24,21
101100551190,9000,100683,1990,1,3,1,1,1,39.9425372601772,116.440748587433,53,473,15,557,100,339,50,675,100,166,54,419,0,13,9,34,22,20
101100554021,15500,70793,2006,1,3,2,1,3,40.0011578185471,116.48191961238,52,381,21,626,86,381,38,432,100,185,63,449,0,11,10,38,19,20
101100554096,3650,63457,2004,1,1,1,1,1,39.9299857780802,116.395645037879,20,514,63,306,30,515,15,515,47,292,19,578,38.77166667,15,11,30,19,23
101100558971,4200,69091,1980,0,2,1,1,1,39.9314652986305,116.47475340892,52,395,25,285,100,442,98,519,100,123,51,429,0,10,8,38,24,17
101100560336,4200,65218,1998,1,1,1,1,1,39.9943726334627,116.441282446804,33,422,10,351,100,400,15,588,100,218,29,338,0,14,7,32,26,19
101100586138,4180,59886,2005,1,1,1,1,1,40.0465104727324,116.420675414524,28,383,21,636,59,400,15,385,100,158,56,317,25.78777778,12,7,33,26,20
101100586665,5680,40327,2003,0,3,2,1,2,40.0835452018035,116.359572656667,51,279,2,389,80,486,25,391,100,306,26,469,0,12,10,34,26,15
101100589242,4050,54679,2006,1,1,1,1,1,40.0464759399526,116.423011096884,33,411,21,527,58,353,19,483,100,90,54,328,26.11657407,11,8,38,23,18
101100601349,7350,87846,1997,1,4,0,1,1,39.8845001581671,116.191828210567,9,487,51,198,1,820,0,1000,5,365,0,1000,0,9,6,38,11,34
101100603362,12000,55132,2008,1,4,2,1,2,39.9067289113867,116.606611128405,14,553,3,358,22,402,3,523,65,222,16,408,0,12,7,32,28,18
101100615264,3470,90365,1988,0,1,1,1,1,39.9687556731024,116.376769706759,34,479,14,479,100,214,27,490,98,89,22,467,44.8174537,13,8,30,24,22
101100617673,1400,37544,2015,1,1,0,0,1,39.9274314732067,116.600334383044,37,499,13,650,88,400,18,618,100,290,57,467,0,13,8,35,23,17
101100631138,14500,122188,1999,0,3,2,1,1,39.9861875662893,116.330427044566,46,463,19,728,100,294,28,454,100,261,47,388,0,12,9,36,22,19
101100634308,20500,69940,2002,1,3,2,1,1,40.0011578185471,116.48191961238,52,381,21,626,86,381,38,432,100,185,63,449,0,11,10,38,19,20
101100642373,5100,66476,2006,1,2,1,1,1,39.9589567322984,116.521696592039,15,539,9,693,20,635,6,543,61,225,12,469,0,9,7,35,28,20
101100645259,12000,106724,2008,1,2,1,1,1,39.9007704948251,116.433206964134,53,450,36,476,86,531,32,462,100,205,56,493,0,14,7,29,29,19
101100647304,3000,45032,2004,1,1,0,1,1,40.0629107898932,116.421502288576,31,392,22,417,71,547,23,526,100,27,56,237,0,12,7,35,25,19
101100648675,3600,65850,1991,0,2,1,1,1,39.9565295933385,116.4467922827,50,429,8,616,89,403,15,695,100,213,33,427,29.58171296,10,9,34,22,22
101100656521,3550,64196,1983,0,2,1,1,1,39.9066500834411,116.453924389178,12,727,15,742,84,524,20,654,100,372,46,554,0,10,10,38,18,21
101100658696,18000,81570,2000,1,4,2,1,2,39.9411000586644,116.45376779746,39,430,30,328,84,514,33,503,100,142,78,542,0,10,8,39,17,24
101100663504,4680,36257,2007,0,3,1,1,2,40.0920607042304,116.375111467226,51,281,0,1000,32,433,18,515,99,350,26,393,0,11,7,31,28,22
101100663951,7600,62696,2008,1,3,2,1,2,40.0464759399526,116.423011096884,33,411,21,527,58,353,19,483,100,90,54,328,26.11657407,11,8,38,23,18
101100664644,9500,77356,2009,1,1,1,1,1,39.9037286729633,116.426686891166,52,253,38,201,89,312,65,639,100,49,58,165,48.89532407,13,7,24,35,18
101100668827,2950,33649,2004,0,2,1,1,1,40.2035956631777,116.242779841279,50,329,0,1000,43,557,4,441,46,173,23,556,0,0,0,0,0,0
101100669909,6750,58432,2006,1,4,1,1,2,39.9669733926617,116.512821930974,18,564,4,414,40,610,10,525,86,266,23,422,0,9,4,37,23,23
101100670785,13500,116551,2002,1,2,1,1,1,39.9802919763787,116.35517817935,28,588,14,612,100,311,17,479,100,147,27,432,0,13,8,26,27,23
101100681368,3900,63446,2008,1,1,0,0,0,39.9062540846581,116.491827563731,33,441,7,535,72,539,17,656,100,52,45,243,0,14,7,35,23,18
101100682016,3500,57209,2009,1,1,1,1,1,39.9008457048423,116.509349315432,41,409,21,615,69,584,9,643,100,115,50,192,0,11,7,37,23,19
101100682695,11500,73188,2004,1,3,2,1,2,40.0437939103643,116.446793257362,43,464,5,550,31,447,13,536,92,366,21,605,0,14,7,32,24,21
101100684783,7000,93222,2003,1,2,1,1,1,39.9490841518053,116.436173494115,52,395,17,525,100,491,28,536,100,184,50,399,0,15,9,36,19,19
101100685771,7200,73149,2009,1,2,2,1,2,39.9299857780802,116.395645037879,20,514,63,306,30,515,15,515,47,292,19,578,38.77166667,15,11,30,19,23
101100710560,3250,76724,1987,1,1,1,1,1,39.9626777160424,116.445505884956,51,310,28,619,81,418,25,522,100,150,44,473,0,12,10,33,22,21
101100717016,3450,35302,2005,0,2,1,1,1,40.174317797566,116.328661540069,19,393,3,352,20,450,1,350,25,253,6,287,0,0,0,0,0,0
101100725432,15000,52400,2009,1,5,3,1,5,39.8444330972782,116.459035805022,24,661,1,744,34,409,8,757,77,257,33,386,0,13,7,33,24,20
101100725760,11600,76980,2000,1,3,2,1,2,39.9198067945045,116.315654586522,50,349,52,470,69,660,21,581,100,346,38,492,0,11,8,37,19,23
101100727063,9000,95552,2004,1,1,1,1,1,39.9381925567535,116.492932790322,29,464,61,548,48,760,10,578,100,125,40,333,0,12,9,39,18,20
101100727088,17000,97533,2004,1,3,2,1,2,39.9381925567535,116.492932790322,29,464,61,548,48,760,10,578,100,125,40,333,0,12,9,39,18,20
101100730926,12500,109324,2002,1,3,2,1,1,39.9729168737775,116.304280124477,44,386,6,683,80,307,31,374,100,145,36,510,35.97736111,12,8,32,29,17
101100744054,3100,47766,2009,1,1,1,1,1,39.9197559956392,116.590943662531,32,464,13,851,80,360,14,434,100,220,50,413,0,11,8,32,29,18
101100751652,12500,69693,2002,1,2,2,1,2,39.956733974515,116.475388854966,37,490,25,545,76,377,26,550,100,117,48,488,0,14,46,17,10,11
101100752770,3600,36453,1998,0,3,1,1,1,40.229179269223,116.227855222859,49,375,10,665,83,453,26,414,100,134,52,280,0,0,0,0,0,0
101100761012,11000,139594,1999,0,2,1,1,1,39.8962609133498,116.387530937953,52,378,60,294,67,565,30,620,100,285,45,557,29.3737037,10,11,33,21,22
101100762082,26000,130392,2004,1,4,2,1,2,39.887098186098,116.499387812496,21,597,9,761,51,704,3,673,85,430,24,551,0,20,11,30,21,15
101100766771,15500,75862,2012,1,5,2,1,3,39.8904404699335,116.657502890648,51,426,11,734,59,582,13,631,100,150,35,408,0,13,7,35,24,19
101100767156,33500,145729,2012,1,3,2,1,3,39.9038635985774,116.461165319081,42,400,8,681,84,505,24,580,100,141,54,393,0,12,8,37,21,19
101100767871,8600,75912,2013,1,2,1,1,2,40.0985786135689,116.543164858558,25,571,4,445,28,464,8,588,60,278,16,584,0,12,9,38,22,17
101100768266,6800,77485,2002,1,2,1,1,1,39.9794776585968,116.456626345729,29,462,19,504,62,500,6,575,85,235,20,577,31.24731481,11,7,31,22,27
101100778763,3600,55565,2004,1,1,1,1,1,39.9235145145253,116.612978303487,22,504,0,1000,61,599,10,656,72,347,23,469,0,13,8,32,26,19
101100781813,13800,93604,2014,1,3,2,1,2,40.0530250158333,116.359803727794,18,520,2,676,20,710,3,720,48,415,9,516,0,11,6,36,28,17
101100783477,12900,112243,1963,0,4,1,1,1,39.9673346430452,116.364675764981,31,554,13,528,100,116,23,581,100,242,25,478,23.0562037,13,8,34,21,21
101100790009,5000,69629,1989,1,2,1,1,1,39.9718542235607,116.441456324615,51,311,23,709,100,594,30,480,100,149,35,393,0,11,8,40,21,17
101100791011,5800,25341,2003,1,4,2,1,2,40.082678017604,116.41661991818,26,493,7,709,69,477,22,429,100,187,31,341,0,14,7,36,22,19
101100795065,8700,31892,2004,1,4,3,1,3,40.0836475277804,116.423634038518,43,416,3,572,70,501,22,514,98,373,32,419,18.46564815,6,2,43,34,13
101100796205,11000,46233,2004,1,3,2,1,2,39.8763562416582,116.438863634354,41,433,25,478,78,513,26,645,100,142,44,399,0,12,8,38,21,19
101100797947,21600,67844,2008,1,3,2,1,3,39.9541374615446,116.461706155591,34,429,14,576,86,363,21,593,100,103,38,397,0,14,9,33,23,18
101100799269,6800,72034,2000,0,3,2,1,2,40.0172362313716,116.372248042057,31,404,6,596,90,516,20,442,74,426,26,549,38.85134259,11,8,37,20,22
101100802309,5970,69989,1998,0,3,1,1,1,39.9850866535546,116.476499386949,40,400,6,705,100,348,27,455,97,173,26,514,0,11,9,33,23,21
101100802323,3400,65918,1998,1,1,1,1,1,39.9850866535546,116.476499386949,40,400,6,705,100,348,27,455,97,173,26,514,0,11,9,33,23,21
101100810088,5490,45992,2013,1,3,2,1,2,39.9038935778596,116.150511519992,9,329,0,1000,7,400,0,1000,26,212,4,304,0,4,9,47,14,23
101100814055,4100,40454,2008,0,2,1,1,1,40.0920607042304,116.375111467226,51,281,0,1000,32,433,18,515,99,350,26,393,0,11,7,31,28,22
101100821118,6600,66566,2012,1,2,1,1,1,40.0713729815242,116.315500740924,23,336,0,1000,15,432,6,403,55,304,14,468,0,13,7,31,26,20
101100821167,5300,79880,1991,0,3,1,1,1,40.0010899196602,116.419324678342,50,378,17,582,80,360,28,581,100,93,56,310,0,12,7,31,24,24
101100822596,21500,68568,2003,1,5,3,1,4,40.006387683679,116.489928011391,29,527,8,470,70,506,21,487,100,195,47,392,0,11,8,35,22,22
101100826474,6150,81815,2004,1,1,1,1,1,39.9016081442897,116.448512544939,27,472,26,491,79,512,25,518,100,150,46,383,0,12,7,34,27,17
101100826954,5150,67746,1984,1,3,1,1,1,39.9580336359386,116.463557980061,42,444,13,495,77,416,30,474,100,73,50,374,0,12,8,30,20,27
101100829003,8100,84060,2004,1,2,1,1,1,40.0437939103643,116.446793257362,43,464,5,550,31,447,13,536,92,366,21,605,0,14,7,32,24,21
101100832145,9000,146318,2004,1,1,0,1,1,39.9703157188359,116.303705984188,48,414,23,786,83,371,28,488,100,134,36,558,24.55916667,13,8,32,26,18
101100832770,5400,95660,1986,0,2,1,1,1,39.9458629575355,116.446668191676,53,310,16,673,94,293,29,507,100,164,43,370,0,11,8,33,22,24
101100833900,8800,34767,2006,0,4,2,1,2,40.1707418297453,116.276561576677,35,384,3,402,33,499,3,287,51,200,4,211,0,0,0,0,0,0
101100835502,4100,59473,2006,1,1,1,1,1,39.846230220297,116.327839680358,19,737,0,1000,85,300,9,460,100,106,35,465,0,14,7,33,26,17
101100835715,6500,59930,1992,0,4,2,1,2,39.9565295933385,116.4467922827,50,429,8,616,89,403,15,695,100,213,33,427,29.58171296,10,9,34,22,22
101100836576,22000,84626,2005,1,4,2,1,3,39.9299857780802,116.395645037879,20,514,63,306,30,515,15,515,47,292,19,578,38.77166667,15,11,30,19,23
101100838721,6150,49394,2003,0,3,1,1,1,40.0835452018035,116.359572656667,51,279,2,389,80,486,25,391,100,306,26,469,0,12,10,34,26,15
101100841078,4500,67225,2011,1,1,1,1,1,40.0545576192078,116.439379185361,47,318,3,736,47,625,11,577,76,154,19,452,0,13,12,26,29,17
101100842981,6300,32950,2007,0,5,3,1,3,39.93717090261,116.125302521584,43,414,7,447,41,558,5,422,79,291,31,515,0,13,7,31,23,24
101100845650,4100,59438,2007,1,1,1,1,1,39.8846784306416,116.464775719417,51,296,11,584,99,404,35,505,100,207,50,355,29.75486111,14,8,33,26,17
101100845712,8500,114325,2000,1,2,2,1,1,39.9972437451426,116.342455518836,46,336,7,485,100,230,22,444,100,91,42,244,34.13273148,13,8,31,28,17
101100847515,27000,88000,2011,1,4,2,1,4,39.9094817360822,116.256161226529,51,381,51,244,87,460,20,586,74,167,16,604,0,13,7,32,27,19
101100848274,4800,60446,2008,1,1,1,1,2,39.9062540846581,116.491827563731,33,441,7,535,72,539,17,656,100,52,45,243,0,14,7,35,23,18
101100848739,7800,73440,2000,1,2,2,1,1,39.9969066159703,116.468569460314,50,325,10,540,97,378,23,654,100,214,51,343,0,12,8,35,20,23
101100848856,6100,39421,2005,0,5,2,1,2,39.8716928098512,116.666991395309,23,415,0,1000,32,460,6,321,82,218,10,509,0,11,8,34,24,20
101100851224,13000,72699,1999,0,4,2,1,3,39.9959525545598,116.472504236973,51,206,13,547,100,376,28,591,100,284,53,299,0,12,9,36,19,22
101100852485,7260,96556,2004,1,1,1,1,1,39.90223250522,116.435731573617,39,395,42,500,80,459,28,494,100,197,54,426,26.73731481,14,7,29,29,19
101100853080,7400,92385,1989,0,3,1,1,1,39.9157223280405,116.308834440887,52,364,17,405,79,263,23,481,100,107,54,319,0,12,10,33,22,21
101100863215,3600,51057,1985,0,3,1,1,1,39.9688506036665,116.561894824882,34,363,0,1000,31,370,4,402,65,313,10,482,36.23268519,37,3,7,16,35
101100870527,7600,68076,2005,0,3,2,1,2,39.9791892141353,116.512694870151,26,472,7,483,20,644,3,201,66,374,12,560,0,18,4,31,22,22
101100870600,10400,100513,2001,1,2,1,1,1,39.976646431782,116.349454406607,36,549,16,544,100,368,20,584,100,246,41,486,26.80560185,13,8,32,27,18
101100872516,13600,100958,2002,1,3,2,1,2,39.958575353663,116.277036773106,28,566,3,567,34,504,11,532,66,178,10,538,27.09092593,11,9,35,25,17
101100875242,5100,82659,1995,0,2,1,1,1,39.9299857780802,116.395645037879,20,514,63,306,30,515,15,515,47,292,19,578,38.77166667,15,11,30,19,23
101100875323,6800,63321,2007,1,2,1,1,1,39.903239259686,116.51156047558,43,398,29,406,73,415,9,489,100,97,51,196,0,11,8,37,24,18
101100876325,5800,50165,2005,0,3,1,1,2,40.0525560563157,116.406354203185,12,508,3,558,23,545,11,567,84,376,28,510,0,13,7,29,30,19
101100878596,4750,56535,2001,0,2,2,1,1,40.0491254430476,116.419584414397,37,296,23,668,55,389,21,589,100,106,56,284,0,12,7,33,26,20
101100883069,4530,77970,1980,0,2,1,1,1,40.0377071700514,116.332951190523,34,503,15,579,64,582,14,546,100,235,29,449,0,14,9,29,26,19
101100886735,5500,46053,2000,0,3,1,1,1,40.0522574000654,116.412164436936,34,386,9,568,41,360,17,495,100,163,49,237,0,11,7,31,31,18
101100887635,3850,65667,1988,0,1,1,1,1,39.9764728333021,116.421724055054,52,404,28,664,100,227,13,631,100,158,32,390,0,11,10,35,25,16
101100889798,3900,57753,1957,0,2,1,1,1,39.9248995824541,116.491266639313,49,471,14,709,97,324,31,518,100,67,53,292,26.82055556,11,8,35,26,18
101100889886,3300,33688,2008,0,3,2,1,2,40.2371941839919,116.146890290583,15,561,0,1000,8,489,6,570,39,347,15,547,0,0,0,0,0,0
101100889943,3750,56180,2009,1,1,1,1,1,39.923914592897,116.512227644388,34,399,11,483,83,511,24,523,100,189,53,373,0,11,8,37,20,22
101100890718,14480,74999,2000,1,3,1,1,2,39.9933124127628,116.392095275859,30,457,54,430,81,413,11,541,100,228,37,486,25.29412037,9,7,43,15,23
101100901486,8900,95957,2001,1,2,1,1,1,39.9002680316548,116.429255497857,52,354,33,446,93,517,38,431,100,152,57,401,33.63990741,11,7,26,33,20
101100905035,5650,97414,1981,0,3,1,1,1,39.9756551975713,116.333856452511,44,516,18,490,100,276,22,481,100,201,65,480,31.76046296,13,9,29,22,24
101100905896,3700,53154,2009,0,1,1,1,1,40.1132601512748,116.545695609756,39,503,0,1000,23,653,7,383,54,274,16,318,0,12,9,35,29,14
101100906272,9800,75594,2000,1,3,1,1,1,39.8946234110426,116.373742986816,51,380,36,470,84,333,40,534,94,145,39,426,0,14,9,32,24,18
101100907387,13500,130435,2000,0,2,1,1,1,39.965062348591,116.381042250881,34,481,8,630,100,340,33,543,100,248,33,525,0,12,9,33,25,19
101100907726,6990,54542,1998,0,3,2,2,2,39.9934461433651,116.478371167276,51,327,18,595,100,389,38,523,100,143,55,377,29.74476852,11,7,32,18,29
101100909186,10000,63184,2009,1,4,2,1,2,40.0448191877751,116.221815815203,11,413,0,1000,21,545,5,479,59,528,10,527,0,26,10,26,10,26
101100911577,6500,41407,2005,1,3,1,1,2,40.0762008640163,116.564511397493,42,400,11,636,5,435,4,284,33,250,3,235,0,11,6,31,29,20
101100912051,8300,53432,2003,1,4,2,1,2,39.795242116038,116.504753864714,50,324,3,464,47,716,8,489,75,128,12,497,0,13,7,34,25,18
101100913333,9000,41372,2005,0,5,2,1,3,39.8774356027597,116.559661632892,14,518,3,861,14,483,2,610,51,344,10,551,0,18,13,22,22,22
101100914360,15000,103756,2006,1,2,2,1,2,39.9408635969642,116.500854315105,50,412,7,743,52,484,13,545,97,365,31,405,59.69842593,14,9,31,25,18
101100914392,10100,87507,2007,1,2,1,1,2,39.8773285090872,116.348059624709,32,419,8,782,40,547,7,603,87,241,21,520,35.32037037,12,7,33,25,21
101100917035,4390,49560,2005,0,2,1,1,1,40.0940216023219,116.358456235393,44,428,1,220,58,534,10,659,77,252,14,698,0,8,15,35,22,18
101100917565,3700,60996,1997,1,1,1,1,1,39.9226336978386,116.526702214443,51,239,33,744,75,469,21,636,100,180,54,375,0,11,7,34,23,22
101100918385,11280,72996,2000,1,2,1,1,2,39.9023461468788,116.423430499557,53,282,38,322,88,285,58,588,100,55,58,230,0,13,9,29,30,16
101100919966,17500,107402,2004,1,3,2,1,2,39.9697547694106,116.29089568409,39,490,33,557,90,468,13,466,100,395,35,563,0,11,7,36,23,21
101100920255,13200,96309,2003,1,3,2,1,2,39.9490841518053,116.436173494115,52,395,17,525,100,491,28,536,100,184,50,399,0,15,9,36,19,19
101100921078,5700,84847,1990,0,2,1,1,1,39.9792883282799,116.338743492299,45,434,19,636,97,423,20,593,100,123,34,512,27.6324537,15,9,31,25,18
101100921201,3800,37204,2001,0,3,1,1,2,40.2199847437509,116.244200240155,52,304,12,353,100,485,33,431,100,147,53,264,0,0,0,0,0,0
101100921784,4200,42858,2002,0,2,1,1,1,39.9299857780802,116.395645037879,20,514,63,306,30,515,15,515,47,292,19,578,38.77166667,15,11,30,19,23
101100924088,5350,35200,2007,0,4,2,1,2,40.0708323732692,116.431332649687,43,427,9,875,78,372,23,466,100,235,26,561,0,11,7,33,28,18
101100924496,12500,108696,1996,0,3,1,1,1,39.9784948836081,116.329657185964,39,444,22,585,100,299,24,576,100,123,62,484,0,14,8,31,23,22
101100925082,4180,75561,1995,1,1,0,1,1,39.9211172719351,116.302488605052,30,375,14,674,88,489,22,600,100,197,50,458,29.17342593,16,7,25,33,17
101100925162,5460,31795,2004,0,2,2,1,2,40.0814822866843,116.43518736936,50,328,8,741,66,502,9,432,98,258,21,567,0,13,8,28,25,24
101100930273,3670,58720,1983,0,2,1,1,1,40.1032266676884,116.225061061536,10,535,1,561,17,420,1,268,57,259,2,315,0,0,5,35,30,30
101100931259,9200,110180,1987,0,3,1,1,1,39.9701350725176,116.377300999771,37,438,15,547,100,316,19,480,100,198,26,487,0,14,7,32,26,18
101100933069,4000,80500,1992,0,1,0,1,1,40.00442620401,116.421018801687,53,411,13,607,78,413,31,498,100,205,55,477,0,15,8,31,25,19
101100937087,8200,63029,2000,1,2,1,1,2,39.8927732479275,116.471518601795,52,350,2,548,96,350,50,449,100,189,53,339,0,10,8,39,23,18
